"nyt_2010_2017_pick.display_title","summary_short"
"1","A bawdy college kegger has a possible extraterrestrial mystery in 1"
"10 Cloverfield Lane","JJ Abrams produced but did not direct this thriller which is only slightly connected to his Cloverfield 2008 and stars Mary Elizabeth Winstead"
"10,000 Saints","A troubled Vermont teenager is sent to live with his estranged father in New York and finds himself there during a defining cultural moment"
"12 Years a Slave","Steve McQueens 12 Years a Slave based on the true story of Solomon Northup drives straight to the heart of the cruelties of oppression"
"127 Hours","Danny Boyles 127 Hours recreates the ordeal of Aron Ralston the hiker who decided to extricate himself from a narrow slot of rock by severing an arm"
"13 Cameras","A creepy landlord a fathertobe with a wandering eye and a lot more than a couple bargained for in renting a home"
"17 Girls","When a high school alpha girl becomes pregnant 16 other girls follow suit in the film 17 Girls which wavers between light comedy and drama"
"20th Century Women","Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Millss funny emotionally piercing new film"
"45 Years","Charlotte Rampling and Tom Courtenay play a couple whose union is unexpectedly complicated by the discovery of the husbands longdead former girlfriend in a glacier"
"45365","The documentary 45365 looks at the residents of Sidney Ohio"
"4th Man Out","Adam a mechanic in his 20s who has recently come out tries dating apps with the encouragement of his three lifelong buddies"
"7 Boxes","A pushcart delivery boy in Paraguay takes a job for a shady butcher and chaos ensues in this film directed by Juan Carlos Maneglia and Tana Schmbori"
"78/52","A documentary by Alexandre O Philippe finds plenty to examine in one of the most memorable scenes in American film"
"99 Homes","Ramin Bahranis tale is on one level a fable about how impersonal economic forces shape individual destinies"
"A Bigger Splash","This film filled with beautiful people is a reluctant thriller about a rock star her current lover her former lover and a pretty young thing"
"A Dark Song","This intense debut feature from the Irish director Liam Gavin with its spare style is a marriage of acting and atmosphere"
"A Film with Me in It","A Film With Me in It is a slender supple comedy graced with appealing performers and laced with agreeable poison"
"A Ghost Story","Casey Affleck and Rooney Mara play a young couple one of whom is dead in David Lowerys haunting new film"
"A Good Man","A Good Man a documentary by Safina Uberoi follows Chris Rohrlach an Australian farmer who opens a legal brothel"
"A Hologram for the King","Set in Saudi Arabia this subdued absurdist farce reflects on American decline and runaway technology"
"A Little Chaos","Ms Winslet plays a gardener well ahead of her time in this Louis XIVera costume drama directed by and starring Alan Rickman"
"A Most Violent Year","A family its heatingoil business and New York are at the center of J C Chandor8217s 8220A Most Violent Year8221"
"A Prophet","A Prophet is one of those rare films in which the moral stakes are as insistent and thought through as the aesthetic choices"
"A Room and a Half","A Room and a Half is a rich heady fictionalized biography of the exiled Russian poet Joseph Brodsky"
"A Screaming Man","A Screaming Man by the Chadianborn filmmaker MahamatSaleh Haroun is a tender story about an individual at the intersection of the personal and the political"
"A Small Act","A Small Act follows Chris Mburu who as a child in Africa was sponsored by Hilde Back a woman in Sweden"
"A Summer's Tale","Eric Rohmers languid 1996 film A Summers Tale finally released in the United States focuses on a young man vacationing in Brittany who feels torn among three women"
"A United Kingdom","This romance illustrates the struggle for African independence from colonialism under the shadow of apartheid"
"A Useful Life","In Federico Veirojs film A Useful Life the programmer of a failing art house faces a challenge to his hermetic existence"
"A Very Harold & Kumar 3-D Christmas","The comedy A Very Harold  Kumar 3D Christmas again delights in the recreational drug use of its two stoner characters"
"Accidental Courtesy: Daryl Davis, Race & America","A man who confronts racism with friendliness in his travels"
"Aferim!","Romanias entry for consideration at the Academy Awards for best foreignlanguage film Radu Judes historical drama has resonance in our present age"
"After the Storm","The Japanese director Hirokazu Koreedas latest family drama focusing on a writer whos fallen on hard times works in a quiet cinematic register"
"Afterimage","This passionate political movie tells the story of Wladyslaw Strzeminski a reallife artist who suffered under Soviet rule"
"Afternoon","This Tsai Mingliang film features him and the actor Lee Kangsheng discussing personal issues in a minimalist setting"
"Aida's Secrets","This documentary follows Izak Szewelewicz who was sent to Israel as a toddler after World War II on a search for the brother he didnt know he had"
"All is Bright","Paul Giamatti and Paul Rudd play professional thieves attempting to give up crime in All Is Bright a new film directed by Phil Morrison"
"All the Money in the World","Mr Plummer who replaced Kevin Spacey in the role of J Paul Getty is magnetic in the film which recounts the 1973 kidnapping of his grandson"
"Allied","Allied is not so much a work of art as a triumph of craft possibly the purest and most relaxed demonstration of the director Robert Zemeckiss mastery"
"Almost Christmas","David E Talberts film is often disarmingly entertaining with an appealing and talented cast that includes Danny Glover Gabrielle Union and MoNique"
"Always Shine","Actresses try to renew their friendship during a weekend visit to Big Sur Calif but jealousies and old resentments bubble up"
"Amanda Knox","This documentary about the case of an exchange student killed in Italy focuses less on an accused killer and more on unprincipled journalism and unapologetic sexism"
"American Honey","Andrea Arnolds new feature her first set in the United States with a cast mostly of newcomers follows a band of aimless youths around the country"
"American Hustle","American Hustle starring Christian Bale and Amy Adams may be about a famous federal sting but its also a love story"
"Amy","Asif Kapadias documentary is a harrowing look at the singers life that drives home the costs of celebrity and fandom"
"An Inconvenient Sequel: Truth to Power","A followup to An Inconvenient Truth with new information on climate change and even some positive developments"
"An Oversimplification of Her Beauty","Terence Nance writes directs and acts in An Oversimplification of Her Beauty his film about the sweet romantic tension between two close friends"
"Anesthesia","This film considers the cruel paradox of living amid lifeenhancing technological miracles that dont fulfill a yearning for a more purposeful existence"
"Angkor Awakens: A Portrait of Cambodia","Robert H Liebermans documentary scrutinizes the harrowing abuses and tormented legacy of the Khmer Rouge regime"
"Another Year","Mike Leighs Another Year like many of his films is about the casualties of British class consciousness But it also trains its eye on another form of unfairness the unequal distribution of happiness"
"Anthropoid","Cillian Murphy and Jamie Dornan star as Resistance fighters in Czechoslovakia who set out to assassinate one of the chief architects of the Holocaust"
"Anton Chekhov's The Duel","Dover Kosashvilis new film adapts The Duel by Chekhov in a naturalistic style"
"Apprentice","In this film from Singapore the chief executioner at a highsecurity prison takes on a new assistant"
"April and the Extraordinary World","In an altered century with stunted technology a Parisian and her talking cat try to figure out why so many scientists are disappearing"
"Argo","Argo is a doozy of a story and so borderline ridiculous that it sounds like something that could have been cooked up only by Hollywood"
"Arrival","In Denis Villeneuves film Amy Adams plays a linguist struggling to understand interplanetary visitors checking in at 12 spots around the globe"
"As I Open My Eyes","A headstrong singer comes of age on the eve of Tunisias Jasmine Revolution"
"At Middleton","The romantic comedy At Middleton is also a delicate film about two people confronting their flawed marriages"
"Aurora","Cristi Puiu stars in and directs Aurora an enigmatic feature about human relations in presentday Romania"
"Babies","Babies a documentary by Thomas Balms chronicles the first year in the lives of four farflung infants"
"Baby Driver","Burning rubber and hot licks help propel this action movie about a getaway driver named Baby played by Ansel Elgort Edgar Wright directed"
"Ballplayer Pelotero","Ballplayer Pelotero is a stark documentary that examines the process of scouting young baseball players in the Dominican Republic"
"Balls Out","8220This isn8217t about winning8221 says the coach of the motley intramural football team at the center of this comedy 8220It8217s about winning at the last possible second8221"
"Barbershop Punk","The documentary Barbershop Punk follows one mans battle against Comcast and how it restricts Internet traffic"
"Barbershop: The Next Cut","This movie revives the Barbershop franchise bringing back Ice Cube as the owner of a haircutting establishment on Chicagos South Side"
"Battle for Brooklyn","Battle for Brooklyn a documentary by Michael Galinsky and Suki Hawley chronicles the Atlantic Yards project and the work of a resident who has fought against it"
"Beach Rats","Eliza Hittmans refreshing sophomore feature centers on its main characters existential crisis"
"Beauty and the Beast","A compassionate Belle and a splendid monster are the hallmarks of this liveaction remake of the 1991 animated film"
"Before Midnight","Before Midnight follows the continuing romance of characters played by Julie Delpy and Ethan Hawke in the third film in a series directed by Richard Linklater"
"Best and Most Beautiful Things","This documentary follows a young woman who is legally blind and has Aspergers syndrome as she enters adulthood and explores a new identity"
"Beyond the Edge","With reenactments and archival material Leanne Pooley recounts Edmund Hillary and Tenzing Norgays ascent of Mount Everest"
"Beyond the Lights","In Gina PrinceBythewood8217s 8220Beyond the Lights8221 a pop star lives a lonely life before meeting a police officer with ambitions of his own"
"Big Game","In this adventure a Scandinavian teenager encounters the American president who has bailed out of a doomed Air Force One over the Finnish woods"
"Big Men","Rachel Boyntons documentary Big Men is about the 2007 discovery of oil off the coast of Ghana and the perfect storm of avarice that develops around it"
"Big Sur","Michael Polishs film Big Sur is based on Jack Kerouacs visits to that coastal California region where he fled the literary success that followed the publication of On the Road"
"Bikes vs Cars","From a cabdriver in Copenhagen to an activist in So Paulo Fredrik Gerttens documentary presents a wide range of viewpoints"
"Bill Cunningham New York","Richard Presss documentary Bill Cunningham New York follows that On the Street fashion photographer of The New York Times"
"Bill Frisell: A Portrait","The director Emma Franz focuses on a musician who seems to never stop playing featuring great collaborators of this no drama artist"
"Birdman","Alejandro G I241225rritu8217s comedy 8220Birdman8221 stars Michael Keaton as a onetime movie superhero betting his career on a strange Broadway play"
"Bitch","Jason Ritter plays a husband whose wife goes to the dogs in this feminist horrorcomedy"
"Black Swan","In Black Swan Natalie Portman plays an ambitious ballerina straining to handle stardom"
"Blackhat","In Michael Mann8217s 8220Blackhat8221 a hacker is provisionally released from prison to combat a cybercriminal who has sabotaged a nuclear plant and manipulated a financial market"
"Blank City","The documentary Blank City looks at iconoclastic downtown New York filmmakers in the late 1970s and early 80s"
"Bleed for This","The film tells the true story of the brash fighter Vinny Pazienza who fractured his neck in a car accident but earned his place back in the ring"
"Blind","A Norwegian woman who recently lost her sight struggles to keep in touch with the visual world in Eskil Vogt8217s debut feature"
"Blue Jasmine","Cate Blanchett plays a wealthy woman who has lost her money and her bearings in Blue Jasmine directed by Woody Allen"
"Bluebird","In this film set in a Maine logging town a schoolbus driver deals with the repercussions of a tragic mistake"
"Bombay Beach","Bombay Beach a documentary about an abandoned California wonderland that still holds wonder for some of its residents"
"Boom Bust Boom","This film by Terry Jones formerly of Monty Python explores the 2008 financial collapse and the possibility of more crashes through animation puppetry and interviews with economists"
"Born to Be Blue","Ethan Hawke plays Chet Baker in this extended riff on a jazz life written and directed by Robert Budreau"
"Boyhood","Richard Linklaters tender and profound film which follows a boy and his family over a dozen years in real time is a meticulously textured work set to the rhythm of life"
"Braddock America","Braddock America chronicles the troubles of Braddock Pa a steel town that has seen better days"
"Brawl in Cell Block 99","Mr Vaughn plays a reluctant avenger in this vicious thriller from the director of Bone Tomahawk"
"Bridesmaids","Bridesmaids celebrates the giddy liberating humor of the writers Kristen Wiig and Annie Mumolo"
"Broken Embraces","Can there be such a thing as exuberant melancholy I cant think of another way to describe the spirit of Broken Embraces"
"Brooklyn","This film about a familiar American story the immigrant who arrives with dreams of the future and pangs over leaving home explores the question Where do we come from"
"Brotherhood","Danish men who harass Pakistani immigrants beat up homosexuals and idolize Hitler while struggling with their own sexuality"
"Buena Vista Social Club: Adios","This vital informative companion piece to Wim Wenderss 1999 documentary chronicles the latelife careers and deaths of the Buena Vista stars"
"Bugs","Ben Reade and Josh Evans travel the world to visit cultures where insects are prepared as food"
"Call Her Applebroog","Beth B Ida Applebroogs daughter takes an intimate look at the artists drawings paintings and emphatic engagement with others"
"Call Me by Your Name","In the latest movie from the Italian director Luca Guadagnino I Am Love Armie Hammer plays a visiting student who falls for his hosts teenage son"
"Call Me Kuchu","The documentary Call Me Kuchu chronicles the struggles of the gay rights movement in Uganda and its prime mover David Kato who was bludgeoned to death in January 2011"
"Captain Fantastic","Mr Mortensen is just one of the reasons to see this film about a family forced to leave their home in the woods and become reacquainted with society"
"Captain Phillips","Based on a true story of a hijacking by Somali pirates Captain Phillips begins as something of a procedural about men at work and morphs into a jittery thriller"
"Carol","Two women fall in love in this new film from Todd Haynes based on the Patricia Highsmith novel The Price of Salt"
"Cars 3","Lightning is back and feeling a bit old in this latest breezy feature in the Pixar franchise It offers life lessons that will resonate with adults as well as with children"
"Cash Only","In Malik Baders drama the clock is ticking fast for a desperate Detroit landlord who steals money from the wrong person"
"Catching the Sun","This documentary spotlights international efforts to build a green economy through solar power"
"Cedar Rapids","In Cedar Rapids an insurance salesman leaves his hometown for the first time to attend a convention where he plunges into the reality of the world outside his tiny one"
"Certified Copy","In Abbas Kiarostamis Certified Copy a couple Juliette Binoche and William Shimell drive through Tuscany arguing about art representation and authenticity"
"Chasing Coral","Jeff Orlowskis documentary emphasizes that climate change isnt just an aboveground phenomenon  warmer oceans mean that coral reefs are in peril too"
"Cheap Thrills","Cheap Thrills is a dark comedy about two friends who fall into a rough game with a wealthy couple they meet at a bar"
"Chicken People","This documentary directed by Nicole Lucas Haimes looks at devotees of these fair fowl on the show circuit"
"Chinese Puzzle","Chinese Puzzle the third film in a trilogy centers on a womanizing Frenchman who follows his exwife to New York"
"Citizenfour","8220Citizenfour8221 about Edward J Snowden8217s quest to expose sweeping government surveillance of citizens has the effect of a spooky and deeply unsettling thriller"
"City of Gold","Laura Gabberts documentary follows the food critic Jonathan Gold in his pursuit of excellence which can lead to a taco truck or a highend restaurant"
"Clouds of Sils Maria","8220Clouds of Sils Maria8221 directed by Olivier Assayas examines female friendships female rivalries tabloid notoriety and the loss of privacy in the Internet age"
"Cold Fish","Sion Sonos Cold Fish is a deliciously warped wallow in misogyny depravity and manipulation"
"Columbus","The video essayist Kogonada uses architecture to pose larger questions in a small Indiana town"
"Contagion","Contagion Steven Soderberghs smart spooky thriller about contemporary plagues is a paranoid freakout for the antigovernment Tea Party age"
"Cooper & Hemingway: The True Gen","Cooper  Hemingway examines the friendship between Gary Cooper and Ernest Hemingway who shared a love of the outdoors but had strikingly different personalities"
"Crazy Heart","Crazy Heart written and directed by Scott Cooper is a small movie perfectly scaled to the big performance at its center"
"Creed","No 7 in a series Creed stars Michael B Jordan as Sylvester Stallones protg Its a rarity A O Scott writes a terrific boxing movie"
"Crime After Crime","Crime After Crime favors the personal over the political creating a nofrills portrait of a stoic and remarkably unembittered woman"
"Criminal Activities","Mr Travolta plays a crime boss with a getrichquick investment scheme in this movie from Jackie Earle Haley"
"Cupcakes","Eytan Fox8217s dramedy sends six more or less ordinary Israelis to a Paris song competition"
"Damn!","Damn is more than just a documentary about a quirky New York gubernatorial candidate"
"Dark Horse","Subtitled The Incredible True Story of Dream Alliance this documentary recounts the rise of a foal who restored a Welsh villages spirits"
"Dark Shadows","Johnny Depp plays Barnabas Collins in this comedy from Tim Burton their eighth movie together based on the soap opera from the 1960s and 70s"
"Date and Switch","Date and Switch directed by Chris Nelson is a new entry in the high school movie pool"
"Dawn of the Planet of the Apes","In Dawn of the Planet of the Apes civilized apes and devastated humans debate what to do about each other"
"Daybreakers","Among the many pleasures of Daybreakers is its reminder that vampire movies can function as more than just metaphors for teenage celibacy"
"Dear Zindagi","Gauri Shindes sharply observed film depicts a young cinematographer torn between various impulses who finds guidance from a psychologist"
"Deliver Us From Evil","A New York police officer teams up with a priest to combat demonic possession in the horror movie Deliver Us From Evil"
"Dementia","The titular illness is not the only disorder in the family of a Vietnam veteran who is recovering from a stroke"
"Democrats","This documentary from Camilla Nielsson looks at recent efforts to put a constitution into place in that country"
"Demon","A modern ghost story haunted by the Holocaust this film by the Polish director Marcin Wrona reconceptualizes the Jewish mythology of the dybbuk"
"Dheepan","In Jacques Audiards Palme dOrwinning film the members of a makeshift family find that a housing project near Paris feels like the war zone they just left"
"Disconnect","Disconnect with Jason Bateman and Hope Davis offers a montage of overlapping stories about thievery humiliation and exposed secrets on the Internet"
"Disturbing the Peace","Combatants for Peace a group of individuals including many former military enemies in the Middle East seeks solutions to the regions agonized convulsions"
"Django Unchained","Django Unchained is pulpy digressive jokey giddily brutal and ferociously profane but it is also a troubling and important movie about slavery and racism"
"Doctor Strange","This film is so giddily enjoyable and visually transfixing you might forget that its part of Marvels strategy for world domination"
"Don’t Think Twice","The movie follows an improv troupe and its members who can be both supportive and catty"
"Drunk Stoned Brilliant Dead: The Story of the National Lampoon","Douglas Tirolas documentary about The National Lampoon brings back the 1970s when Well kill this dog was an acceptable magazine cover line"
"Dunkirk","In his brilliant new film Christopher Nolan revisits a harrowing true World War II mission in a story of struggle survival and resistance"
"E agora? Lembra-me","Joaquim Pinto and his husband open their lives to the audience in What Now Remind Me"
"Eat That Question: Frank Zappa in His Own Words","A documentary about Zappa is rich in archival interviews that say worlds about this musician  who was well known but not well understood  and his times"
"Eccentricities of a Blonde-Haired Girl","Manoel de Oliveira raises questions about the nature of life in Eccentricities of a Blond Hair Girl an adaptation of a short story by Ea de Queiros"
"Eden","The film chronicles the electronic music scene in 1990s Paris from boom to burnout"
"Elle","Paul Verhoevens film is a psychological thriller a strangely dryeyed melodrama a kinky sex farce and a savage comedy of bourgeois manners"
"Elstree 1976","This Jon Spira documentary is about actors who played small roles in parts of the original Star Wars that were filmed in London"
"Enemies of the People","Thet Sambath suggests a oneman Cambodian Truth and Reconciliation Commission Instead of affixing blame he seeks the healing power of confession"
"Enough Said","Nicole Holofceners Enough Said stars Julia LouisDreyfus James Gandolfini and Catherine Keener"
"Equal Means Equal","Kamala Lopezs factpacked documentary features legal experts ordinary women and feminists like Eleanor Smeal and Gloria Steinem"
"Equity","Meera Menons film starring Anna Gunn challenges stereotypes of ambition corruption and sexism even as it exploits their tenacity"
"Ernest & Celestine","Ernest  Celestine about a mouse and a bear offers the childhood comfort of a miniature world"
"Escape Fire: The Fight to Rescue American Healthcare","Escape Fire argues that we can switch from a disease management system that relies on drugs to one that focuses on prevention over cure"
"Eva","In Kike Ma237llo8217s Spanish drama a prodigy returns to his hometown to work on programming an android with the emotional life of a real child"
"Eva Hesse","Marcie Begleiters documentary explores the originality and power of Hesse who managed to triumph in a maledominated art world before dying at 34"
"Every Last Child","Tom Robertss documentary examines the struggles of health workers in Pakistan to vaccinate children against polio in the face of mistrust and Taliban attacks"
"Everybody Wants Some!!","Richard Linklater calls his latest film set in 1980 a spiritual sequel to Dazed and Confused his 1970s high school masterpiece"
"Everything Is Copy","Celebrities and family members discuss and honor Ephrons tartness in this documentary from Jacob Bernstein"
"Évocateur: The Morton Downey Jr. Movie","vocateur The Morton Downey Jr Movie chronicles the rise and fall of this 1980s talkshow host"
"Evolution","A young boys creepy childhood in a picturesque seaside village with an unsettling goingson"
"Ex Machina","In Alex Garland8217s film an Internet mogul creates a gorgeous robot named Ava with unsettling consequences"
"Exit Through The Gift Shop","A documentary follows a Frenchman who follows Banksy and other street artists"
"Experimenter","In the intellectually playful portrait of the social psychologist Stanley Milgram the director Michael Almereyda turns a biopic into a mind game"
"Eye in the Sky","Gavin Hoods movie is a riveting thriller  and often a grim suspenseful farce  about drone warfare and its perils"
"Fair Game","Sean Penn and Naomi Watts star as Joseph Wilson and Valerie Plame Wilson the couple at the center of the controversy over whether Iraq had weapons of mass destruction"
"Fairhaven","In Tom OBriens Fairhaven three old friends from a Massachusetts fishing village are reunited for a funeral"
"Farmageddon","In the documentary Farmageddon Kristin Canty seeks to show that agribusiness is employing government agencies to harass independent farmers"
"Fastball","This documentary written and directed by Jonathan Hock offers a batters point of view on trying to hit a superior fastball"
"Faults","This twisty winningly unsettling feature debut of the director Riley Stearns adds a sometimes darkly comic strain to cultcentric movies"
"Faust","Faust the concluding installment of the Men of Power tetralogy is Alexander Sokurovs freehanded adaptation of Goethes great allegorical drama"
"Félix et Meira","Longing to feel alive a restless young woman is drawn to someone from a different world in this film directed by Maxime Giroux"
"Fences","Starring Denzel Washington who also directed and Viola Davis this film adaptation of August Wilsons play features performances of unmatched force"
"Field Niggas","The director Khalik Allah shows people existing in a form of bondage often created by drug addiction but he manages to find radiance as well"
"Finders Keepers","This custody battle between an amputee and the man who unwittingly bought his leg is as authentic as the North Carolina vernacular in which it unfolds"
"Finding Dory","The friendly blue fish with shortterm memory problems goes looking for her family and takes a star turn in this sequel to Finding Nemo"
"Fireworks Wednesday","Asghar Farhadis film set during the boisterous New Year celebrations in Tehran dissects the imploding marriage of an affluent couple"
"Five Came Back","A screen adaptation of Mark Harriss 2014 book adds visuals to the story of five Hollywood directors who served in World War II with cameras in tow"
"Flight","Flight is a story of survival that hits many familiar recovery beats partly because transformation is the only way out when a star plays an addict in an American mainstream movie"
"For Colored Girls","With For Colored Girls Tyler Perry works very hard and gets it mostly right"
"Fort Tilden","Two selfcentered young women from New York embark on a picaresque bike ride and encounter all sorts of complications"
"Foxcatcher","Starring Steve Carell and Channing Tatum 8220Foxcatcher8221 directed by Bennett Miller tells the truecrime story of an Olympic wrestler and his multimillionaire sponsor"
"Free Fire","Ben Wheatleys formula for actionmovie success a best actress Oscar winner dozens of firearms and a warehouse full of testosterone"
"Free State of Jones","Mr McConaughey plays Newton Knight the Mississippi farmer who led a dissident Confederate group in the Civil War and a political coalition after"
"Fresh Dressed","This documentary charts how hiphop fashion initially absorbed what was around it and then eventually became the inspiration for everyone else"
"From Nowhere","Julianne Nicholson plays a Bronx high school teacher who tries to help three undocumented students cope with the threat of being discovered by the authorities"
"From This Day Forward","Sharon Shattucks documentary tells her family story of growing up with a transgender parent"
"Frozen","Frozen from Disney departs a bit from the companys traditional princess formula"
"Fruitvale Station","Fruitvale Station based on the true story of a Bay Area black man shot by a white police officer on a subway platform examines the subject with a steady objective eye"
"Fun Size","The Nickelodeon star Victoria Justice plays a highschool student chasing down her lost little brother on Halloween in Fun Size"
"Get On Up","Get On Up directed by Tate Taylor The Help tells the story of the RB and funk singer James Brown"
"Get Out","This movie by Jordan Peele his first as a director of feature films is a skillful hybrid blending genres into something terrifying"
"Gimme Danger","Jim Jarmuschs reverent documentary on Iggy Pop a provocateur is prim It includes no retrospective scenes of drug use or the bandmates fights"
"Gleason","Clay Tweels documentary chronicles the athlete Steve Gleasons attempt to leave behind a meaningful legacy for his unborn child as ALS wreaks havoc on his body"
"Go Go Tales","In Abel Ferraras Go Go Tales a Manhattan strip club owned by Willem Dafoe and run by Bob Hoskins faces eviction by Sylvia Miles"
"God Bless the Child","Robert Machoian and Rodrigo OjedaBeck8217s drama creates a seemingly oblivious world of makebelieve goofing off and hanging out after a mother distressingly drives off"
"God Loves Uganda","God Loves Uganda explores the role of the American evangelical movement in promoting a Ugandan proposal to imprison or even execute homosexuals"
"God's Own Country","This feature debut of the writer and director Francis Lee is a bracing sometimes brutal movie"
"Good Kill","This Andrew Niccol film is a blunt critique of remotecontrol warfare which is transforming the reality of battle into a video game whose casualties are pixels on a screen"
"Goodnight Mommy","When Mommy comes back from the hospital a changed person with bandages obscuring her face her twins take action"
"Grandma","Paul Weitz8217s new film centering on a feminist poet in her 70s and her granddaughter is a comedy of conflict and solidarity"
"Grandma, A Thousand Times","In Grandma a Thousand Times the director Mahmoud Kaabour turns his camera on his spirited grandmother and her rich memories"
"Gravity","In Alfonso Cuarns Gravity two astronauts marooned in space struggle for survival in rapidly changing circumstances"
"Green Zone","In Green Zone action under pressure is a test and a revelation of character"
"Greenberg","Greenberg is the funniest and saddest movie Noah Baumbach has made so far and also the riskiest"
"Guidance","Pat Mills wrote directed and stars in this black comedy about a former child star who fraudulently gets a job of giving advice to teenagers"
"Guy and Madeline on a Park Bench","A Bostonbased musical commentary on love and art Guy and Madeline on a Park Bench floats on a wave of spontaneity and charm"
"Haider","A mother8217s loyalties and mystery carries the movie 8220Haider8221 a version of 8220Hamlet8221"
"Hanna Ranch","Kirk Hanna the focus of the documentary Hanna Ranch appeared in Fast Food Nation"
"Happy End","Isabelle Huppert Toby Jones and Mathieu Kassovitz make up a remarkable ensemble cast But Happy End belongs to JeanLouis Trintignant"
"Harmonium","A mysterious man becomes a disruptive presence for a married couple and their daughter in Koji Fukadas wellacted family drama"
"Harold and Lillian: A Hollywood Love Story","Meet the husbandandwife team that inspired some of the most memorable moments onscreen from The Graduate to The Birds"
"Harry & Snowman","Ron Daviss documentary is about Snowman a white gelding and championship show jumper in his time and Harry deLeyer who raised him"
"Harry Potter and the Deathly Hallows: Part 1","There is an especially somber and scary coloration to this installment as Harry Potter faces a perilous grownup world"
"Harry Potter and the Deathly Hallows: Part 2","Childhood ends with tears and howls and swirls of smoke the shock of mortality and bittersweet smiles in the grave deeply satisfying final movie in the Harry Potter series"
"He Never Died","Henry Rollins plays Jack who has spent centuries perfecting the art of being nondescript in this enjoyably strange horror film"
