"nyt_2010_2017_pick.display_title","summary_short"
"Selma","Ava DuVernay8217s film 8220Selma8221 follows civil rights demonstrators in March 1965 across an Alabama bridge and into a new era for black Americans with progress made and promises unkept"
"Seoul Searching","Set in 1986 the film introduces globally scattered youngsters to their heritage in a plot that both critiques and embraces stereotypes"
"Shadowman","Richard Hambleton a peer of JeanMichel Basquiat and Keith Haring who went underground was painting right up until his death this fall"
"Shaun the Sheep Movie","In this stopmotion animation film from the studio that made 8220Wallace  Gromit8221 the sheep run into trouble in their urban adventure"
"Side Effects","Steven Soderberghs Side Effects follows twists and turns involving a fictitious antidepressant which has its own real Web site"
"Silver Linings Playbook","Silver Linings Playbook directed by David O Russell finds a man played by Bradley Cooper returning home after a stint in a mental institution"
"Skyfall","Daniel Craig returns as James Bond in Skyfall a playful 007 movie with exotic locales an island fortress and a fight on a moving train"
"Solitary Man","In Solitary Man Michael Douglas plays a liar cynic compulsive womanizer and allaround jerk"
"Something, Anything","In 8220Something Anything8221 a young newlywed disrupts her closest relationships as she tries to put her life back together after a traumatic loss"
"Somewhere","Sofia Coppolas new film presents a star who has everything including emptiness"
"Song to Song","This drama about intersecting love lives features themes like betrayal identity and art Religion appears too in the film set in Austin Tex"
"Soufra","This documentary from Thomas Morgan about a female entrepreneur establishing a business just south of Beirut is a stirring tale of empowerment"
"Splice","Adrien Brody and Sarah Polley star in a horror film that manages to touch on bioethics abortion and Freudian family dynamics"
"Spotlight","In this gripping detective story a small group of reporters exposes the churchs role in covering up the sexual abuse of children by priests"
"Spring Breakers","Spring Breakers delves into a deeply American topic the pursuit of happiness taken to nihilistic extremes"
"St. Nick","St Nick has a brother and sister on the run Pioneer is a short that grows out of a bedtime story"
"Star Wars: The Last Jedi","With charm and wit the latest Star Wars movie unites the past and present as it looks toward the future"
"Starving the Beast","This documentary by Steve Mims describes an ideological war over public higher education that is being conducted state by state"
"Steve Jobs","The movie burnishes the image of Apples cofounder even as it tries to peek behind the curtain at the gimcrack machinery of omnipotence"
"Stones in the Sun","Haitian exiles in New York City are forced to confront the pain of their shared history in 8220Stones in the Sun8221"
"Stonewall Uprising","Stonewall Uprising examines a police raid on the Stonewall Inn in Greenwich Village that touched off three days of unrest"
"Stranger Things","In Stranger Things a young woman arrives in an English seaside village to clear out her dead mothers house and finds an unexpected resident"
"Strongman","Strongman Zachary Levys lumpinthethroat portrait of an aging muscleman is an outsider tale of unforced rawness and lilting poignancy"
"Sully","Sully Clint Eastwoods film about US Airways Flight 1549 largely involves what happens after he his crew and his passengers are plucked from the Hudson"
"Summer Pasture","Lynn True Nelson Walker and Tsering Perlo followed a young family living as Tibetans have for 4000 years but aware of the pressures of modern life"
"Sunday Ball","Eryk Rochas documentary turns churning legs and arms into a sensory experience thats bigger on poetry than on clarity"
"Sunset Song","In Terence Daviess film scenes of Scottish rural life are stitched together in a slowmoving story rife with both natural beauty and tragedy"
"Supersonic","This documentary looks at the rock groups founding members Liam and Noel Gallagher through older footage and animated recreations"
"Swiss Army Man","Starring Daniel Radcliffe and Paul Dano this impossibletocategorize film about a castaway and a corpse is an original mix of the macabre and the magical"
"Symphony of the Soil","The documentary Symphony of the Soil celebrates the nurturing powers of the ground beneath our feet"
"T-Rex","Claressa Shields the first female boxer to win an Olympic gold medal is the indomitable center of Drea Cooper and Zackary Caneparis impressive documentary"
"T2 Trainspotting","The sequel to the gloriously scabrous film that kickstarted the careers of Danny Boyle and Ewan McGregor illustrates the consequences of a misspent youth"
"Tallulah","Almost a decade after Juno Ellen Page and Allison Janney are paired again in this film written and directed by Sian Heder"
"Tangerine","Sean Baker8217s fast funny comedy shot on iPhones doesn8217t dive deep into transgender identity but shows that femininity is a mask that can be slipped on and off"
"Tangled","With Tangled a version of the Rapunzel story Disney gives its classic animation an update of sorts"
"Tatsumi","Eric Khoos documentary looks at how Yoshihiro Tatsumi made Japanese comics darker and more sophisticated"
"Tears of Gaza","Wrenching footage of missile attacks and their civilian victims in Vibeke Lokkebergs film transcends the politics of the conflict that underlies the bloodshed"
"Terms and Conditions May Apply","Terms and Conditions May Apply examines the repercussions of clicking on the Agree button on those dense and typically unread online user contracts"
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","This often droll Swedish movie is a new entry in the genre that might be called Old People Behaving Hilariously"
"The Adjustment Bureau","Matt Damon and Emily Blunt in a metaphysical mess in George Nolfis Adjustment Bureau"
"The Army of Crime","The poet Missak Manouchian and other outsiders battle the German occupiers and their French collaborators"
"The Artist","The Artist is a touching and mostly silent movie with a musical soundtrack about an aging film idol a peppy young actress and the passing of the silentmovie era"
"The Autobiography of Nicolae Ceausescu","Andrei Ujicas documentary The Autobiography of Nicolae Ceausescu is a cinematic tour de force that tracks the rise reign and grim fall of that executed Romanian dictator"
"The Best Exotic Marigold Hotel","Retirementage Britons travel to India where adventures await in the ensemble comedy The Best Exotic Marigold Hotel"
"The Big Picture","The Big Picture is a French thriller about a husband who fakes his death after accidentally killing his wifes lover then assumes the lovers identity"
"The Big Short","Adam McKays adaptation of Michael Lewiss account of fund managers who bet against the real estate bubble finds laughs within the crisis"
"The Big Sick","Kumail Nanjiani stars opposite Zoe Kazan in this very funny moving true story about how he found and almost lost love Holly Hunter and Ray Romano also star"
"The Boy and the World","Al Abreus film unleashes the exuberance of a child on the harsh realities of Brazil today with dark wit and satire"
"The Breadwinner","The children in this animated film based on a novel by Deborah Ellis navigate life under the Taliban"
"The Call","In The Call a 911 operator takes a lifealtering call from a teenage girl who has just been abducted"
"The City Dark","The City Dark a documentary about light pollution explores what our increasing inability to see the night sky means for us philosophically as well as scientifically"
"The Company Men","Ben Affleck and Chris Cooper play characters who learn that in a company concerned about the bottom line almost everyone is expendable"
"The Confirmation","This Bob Nelson character study stars Clive Owen as a troubled handyman who has more than stolen tools on his mind"
"The Conjuring","In James Wans horror tale The Conjuring Lili Taylor and Ron Livingston are terrorized by the bumps and creaks around them"
"The Conjuring 2","James Wans sequel to his horror hit concerns a London poltergeist in 1977 Vera Farmiga and Patrick Wilson return as paranormal investigators"
"The Counselor","Ridley Scott and Cormac McCarthy team up for The Counselor a tale of a corrupt highflying lawyer dealing with a drug cartel"
"The Dark Horse","The Dark Horse a film inspired by a documentary is about Gen Potini a Maori speedchess player who used his skill to help young players"
"The Dark Knight Rises","Christopher Nolans Dark Knight Rises wraps up his postSept 11 epic of ambivalent good vs multidimensional evil with a burst of light"
"The Descendants","In The Descendants George Clooney plays the scion of an old Hawaii family with many troubles on his hands"
"The Diary of a Teenage Girl","Bel Powley stars as a 15yearold who candidly chronicles the passion anxieties and adventures of adolescence"
"The Discoverers","In The Discoverers a history professor takes his children on a familyfraught trip with historical reenactors"
"The Dish & The Spoon","Alison Bagnalls film The Dish  the Spoon follows the relationship between a woman upset by her husbands infidelity and a British teenager"
"The Edge of Seventeen","In its raw honesty The Edge of Seventeen like Clueless is among the best films about high school kids in years"
"The Farthest","Emer Reynoldss dazzling film traces the history of Voyager 1 and Voyager 2 Like the NASA team that produced these spacecraft it inspires awe"
"The Fighter","Mark Wahlberg and Christian Bale are brothers in the new David O Russell film The Fighter"
"The Final Girls","This movie proves that with the right actors you can make an amusing movie even if a lot of the ideas are borrowed"
"The Final Member","In the documentary The Final Member two men vie to have their penises entered into the Icelandic Phallological Museum as its first human specimen"
"The Fits","This debut feature from Anna Rose Holmer centers on an 11yearold tomboy who trains as a boxer only to discover an interest in joining an allfemale dance team"
"The Fool","In this film Mr Bykovs main character is frustrated after noticing a structural flaw that could lead to a buildings collapse"
"The Future","The grieving teenagers of Il Futuro seek security in the care of some shady men and a love affair with a recluse"
"The Ghost Writer","With The Ghost Writer Roman Polanski creates a wholly believable world rich in strange contradictions and ominous implications"
"The Gift","Directed by Joel Edgerton this movie about a prosperous couple and their ominous new acquaintance takes several turns even after abandoning its formulaic premise"
"The Gift to Stalin","The Gift to Stalin set in the Kazakh steppe in 1949 tells the story of a Jewish boy who escaped death in a purge and is taken in by an aging railway worker"
"The Girl in the Book","Marya Cohns first feature stars Emily VanCamp as a publishing employee promoting a book that resurrects her painful history with a predatory writer"
"The Girls in the Band","The Girls in the Band tells the story of women faced with racism and sexist male musicians in the 1930s and 40s"
"The Good Dinosaur","Homo sapiens and giant reptiles coexist in this animated alternate universe version of Earth history"
"The Good Guy","The Good Guy is fresh enough to provide the voyeuristic kick of glimpsing the frenzied lifestyle of aspiring masters of the universe"
"The Grand Budapest Hotel","On its surface The Grand Budapest Hotel is a caper but this Wes Anderson film is also concerned with a complicated slice of 20thcentury European culture with some very ugly history"
"The Grandmaster","Wong Karwais Grandmaster is a film about Ip Man a 20thcentury Chinese martial arts legend but also an exploration of opposing forces like loyalty and love"
"The Great Beauty","In The Great Beauty a sybaritic writer now 65 considers the essence of Rome and his place in it"
"The Great Flood","The Great Flood uses music and stark images to tell about the destruction and aftermath of the 1927 Mississippi River flood"
"The Grey","Liam Neeson leads a group of men stranded in Alaska after a plane crash in Joe Carnahans film The Grey a lean strippeddown tale of survival in brutal circumstances"
"The Hero","Brett Haleys lowkey feature about an older actor seeking redemption after being reduced to a clich belongs to its star Sam Elliott"
"The History of Future Folk","In The History of Future Folk musicloving space aliens are on a mission to invade Earth"
"The House I Live In","In the documentary The House I Live In Eugene Jarecki inspired by his longtime black caretaker investigates the countrys drug policy and its racial and class implications"
"The Hunger Games: Mockingjay, Part 2","Jennifer Lawrence returns in the savior role in the closing chapter of this blockbuster series based on Suzanne Collinss books"
"The Immaculate Conception of Little Dizzle","The Immaculate Conception of Little Dizzle is like Clerks reimagined by William S Burroughs"
"The Immigrant","The Immigrant tells the story of a Polish womans arrival in New York in 1921 and the complicated scoundrel who forces her into prostitution"
"The Incredible Jessica James","Jessica Williams shines as a young playwright struggling with rejection  professionally and romantically  in this film streaming on Netflix"
"The Iron Ministry","J P Sniadecki spent nearly three years filming this documentary on the trains that carry tens of millions across the nation each year"
"The Kids Are All Right","In Lisa Cholodenkos movie teenagers and their two moms have dinner and lots more with a newly found biological father"
"The Last Exorcism","Daniel Stamms film The Last Exorcism follows a preacher whos lost faith as he is called on to oust the Devil from a teenage girl"
"The Last Family","The difficult family life of the Polish painter Zdzislaw Beksinski makes for an often funny but also harrowing and heartbreaking film"
"The Last Man on the Moon","This documentary is about Capt Eugene Cernan who for almost 44 years has held the distinction of being the last human being to step on the moon"
"The Lie","Joshua Leonard wrote directed and stars in The Lie in which he wonders if it is possible to rewrite lives and remake choices"
"The Light Between Oceans","Michael Fassbender and Alicia Vikander play an Australian couple who long for a child  and happen to find one  in this postWorld War I romance"
"The Lips","In The Lips three social workers in the Argentine countryside help villagers confront hardships"
"The Little Prince","A gray corporate world rendered in computer graphics enfolds the stopmotion universe of Antoine de SaintExuprys tender tale"
"The Lobster","Yorgos Lanthimoss surreal allegory about tyrannical monogamy and its direct counterpart is dosed with bitterness as well as comic whimsy"
"The Lost City of Z","Charlie Hunnam stars in this period adventure story about love loss and mystery in the Amazon from the director James Gray"
"The Man Who Saved the World","This hybrid documentary centers on the life of Lt Col Stanislav Petrov who was in charge of the Soviet early warning systems overnight on Sept 26 1983"
"The Martian","Matt Damon plays a stranded astronaut scrambling to stay alive and return to Earth in this sciencefiction thriller by Ridley Scott"
"The Master","Philip Seymour Hoffman and Joaquin Phoenix star in Paul Thomas Andersons imposing confounding and altogether amazing new film"
"The Meddler","As a mother and daughter Susan Sarandon and Rose Byrne portray a motherdaughter relationship that grows up"
"The Meyerowitz Stories (New and Selected)","A career high and not just for this films writer and director Noah Baumbach"
"The Mighty Macs","The Mighty Macs recounts how Cathy Rush turned the 1972 womens basketball team at tiny Immaculata College into national champions fighting stereotypes along the way"
"The Missing Picture","In The Missing Picture the director Rithy Panh uses figurines and the usual documentary devices to relay his personal story regarding Cambodias killing fields"
"The Muppets","In The Muppets the same adorable fuzzy folks are back in theaters as sweetly innocent and likable as ever"
"The New Girlfriend","The director Franois Ozon offers a seriocomic exploration of crossdressing gender fluidity and desire in his adaptation of a dark story by Ruth Rendell"
"The Peanuts Movie","The question with this revival of a franchise revered by nostalgic baby boomers is whether it will resonate with todays 7yearolds"
"The Pirates! Band of Misfits","This stopmotion animation film from Aardman Animations about a band of hapless highseas troublemakers is a curiosity cabinet of visual pleasures"
"The Playroom","The Playroom is a drama about a seemingly ideal family in the 1970s that has several cracks below the surface"
"The Price We Pay","Harold Crookss documentary shows how the global financial system abets the growing concentration of wealth within a narrow minority"
"The Prison in Twelve Landscapes","An unexpectedly moving look at the elements of the confinement industry that hide in plain sight"
"The Rape of Recy Taylor","Nancy Buirskis film is one of multiple layers and marvelous gumption"
"The Road","The Road conjures a hushed supernatural universe covering two decades after three joyriding teenagers disappear at night"
"The Salesman","The ghost of Willy Loman hovers over this film from Asghar Farhadi but it seems occupied with its own dramatic issues our critic writes"
"The Seasons in Quincy: Four Portraits of John Berger","These four film shorts each by a different director evoke aspects of a brilliant art historian and essayist living in the French Alps"
"The Secret World of Arrietty","The Secret World of Arrietty an animated childrens film from Studio Ghibli has the small making wonderfully do in a world inhabited by and made for the big"
"The Sessions","The Sessions is a touching profoundly sexpositive film that equates sex with intimacy"
"The Shaft","The first feature from the young Chinese director Zhang Chi The Shaft Dixia de Tiankong feels as though it were made by a very old soul"
"The Sleeping Beauty","In Catherine Breillats Sleeping Beauty the princess doesnt fall into a 100year slumber she hits the road for some adventure"
"The Social Network","David Finchers film is less of a biopic of the Facebook cofounder than a gloss on the bootup logon plugin generation"
"The Son of Joseph","Eugne Greens new movie is divided into five sections each titled after a biblical episode"
"The Standbys","The director Stephanie Riggs follows the tribulations of three actors who are on call to step in for a star in a stage show"
"The Stanford Prison Experiment","The film is about the notorious 1971 psychological study in which students were recruited to play either guards or inmates in a makebelieve prison"
"The Take","Idris Elba and Richard Madden star in this wellexecuted variation of the buddycop formula set in Paris"
"The Thoughts That Once We Had","A montage of film clips that takes us on a wild ride through cinematic history"
"The Three Stooges","The Three Stooges is Peter and Bobby Farrellys paean to Moe Larry and Curly and the art of the eye poke"
"The To Do List","In The To Do List Aubrey Plaza plays a smart and driven high school graduate who decides that she has been missing something and sets out to lose her virginity"
"The Treasure","Corneliu Porumboiu this films director waits for dramatic events to arise instead of forcing the action"
"The Trust","Nicolas Cage and Elijah Wood play policedepartment partners who deal with boredom social invisibility and pentup rage by planning a heist"
"The Unknown Girl","A young doctor struggles with her conscience in this latest film from the Dardenne brothers"
"The Wailing","Na Hongjins movie about demonic possession is an expansive and often excruciating horror film from South Korea"
"The Walk","Robert Zemeckis restages the tightrope journey that Philippe Petit Joseph GordonLevitt took between the twin towers in 1974"
"The Wedding Plan","Rama Burshtein received acclaim for her debut feature Fill the Void Now shes back with another biting multilayered romantic comedy"
"The Wise Kids","The Wise Kids is an exploration of the growing pains of Christian teenagers in a Baptist church in Charleston SC who confront uncertainties about their sexuality and faith"
"The Witch","Around 1630 in New England a family leaves a plantation to settle down alone at the edge of a forest"
"The Wolf of Wall Street","Martin Scorseses The Wolf of Wall Street is three hours full of sex drugs and conspicuous consumption but what does it say about us"
"The Woman Who Left","From the modern Philippines Lav Diazs haunting and pessimistic take on a Tolstoy story"
"The Women's Balcony","The power and resourcefulness of women are on display in this smallscale comedy which manages to speak to a broader political movement"
"The Woodmans","This documentary focuses on the artistic family of a young photographer who committed suicide"
"The Yellow Sea","The South Korean film The Yellow Sea is a morality tale full of shocking images and rousing chase scenes"
"The Yes Men Are Revolting","The third documentary follows this comic duo through some personal struggles as they train their sights on global warming"
"Theeb","Naji Abu Nowars drama set in 1916 follows a young orphan alone and unarmed in the Arabic equivalent of the Wild West"
"Theo Who Lived","A documentary follows Theo Padnos as he recreates his kidnapping and detainment by antiAmerican forces in Syria"
"These Birds Walk","The documentary These Birds Walk chronicles a humanitarians efforts to help street children in Karachi Pakistan"
"They Call it Myanmar: Lifting the Curtain","They Call It Myanmar explores the turbulent trajectory of this nation its history politics culture and future"
"This Is Not A Film","Jafar Panahi one of the leading Iranian filmmakers who has been banned from making movies sits before a camera in This Is Not a Film"
"Thunder Soul","Thunder Soul features a Houston highschool music director who turned his schools band into a celebrated funk institution"
"Thy Father's Chair","The mess that two Brooklyn brothers make of their house in this documentary is unholy in several senses of the term"
"Tibet in Song","Tibet in Song tells of an exile struggling with the Chinese to preserve the traditional music of his people"
"Tickled","Two filmmakers had barely begun their reporting for this documentary when threats from the private world of tickling began"
"Time to Choose","Charles Fergusons documentary is a sobering polemic about climate change that balances predictions of planetary doom with a survey of innovations in energy technology"
"TiMER","Timer explores the choices that come when you know when youll meet your soul mate"
"Toe to Toe","The films observations about race class and friendship are clear and accessible without being overly didactic"
"Tom at the Farm","Xavier Dolan directs and stars in this film about a bereaved lover who discovers that his boyfriend8217s family had no idea that he had a gay companion"
"Tomorrow","The fastfaced documentary Tomorrow profiles men and women with concrete solutions for moving away from fossil fuels and protecting the environment"
"Toni Erdmann","The funniest almostthreehour German comedy you will ever see Maren Ades film is a thrilling act of defiance against the toxicity of doing what is expected"
"Too Late","Noir pays tribute to noir with respect in this film by Dennis Hauck starring John Hawkes as a private investigator determined to avenge a murder"
"Top Five","In 8220Top Five8221 Chris Rock and a rich lineup of fellow comedians tell the story of an actor who wrestles with his identity as he tries his hand at a serious film"
"Toy Story 3","Woody Buzz Lightyear and the cast from the first two Toy Story installments are joined by a new set of playthings"
"Train to Busan","Yeon Sanghos film set on a South Korean bullet train pits passengers against the spastic undead"
"Trainwreck","The movie directed by Judd Apatow from Ms Schumer8217s script is a romantic comedy packed with popcultural references and edged with social critique"
"Trophy","This thoughtful documentary raises tough questions about biggame hunting and wildlife conservation"
"Troublemakers: The Story of Land Art","James Crumps film looks at artists who in the early 1960s headed into the open spaces of North America to mold the land"
"True Adolescents","Mark Duplass stars in Craig Johnsons film True Adolescents which explores the sexual discomfort of boys and men not entirely secure in their masculinity"
"True Grit","The Coen brothers remake of True Grit brings Rooster Cogburn and his brutish world back to a tougher Mattie Ross"
"Truth","Truth starring Cate Blanchett and Robert Redford looks back at a 60 Minutes II report and its fallout"
"Tuesday, After Christmas","Tuesday After Christmas a Romanian film directed by Radu Muntean tells the story of a married regular guy who is having an affair with his daughters dentist"
"Two in the Wave","Two in the Wave about the French New Wave filmmakers Franois Truffaut and JeanLuc Godard is interested in its subjects artistic personalities"
"Two Step","Alex R Johnson8217s featurelength debut is a nasty wellacted little gem that goes deep inside its characters8217 psyches"
"UFO In Her Eyes","UFO in Her Eyes a satire directed by Xiaolu Guo is now showing at MoMA"
"Uncle Howard","This documentary is a dual portrait of intertwined artists Howard Brookner who died of AIDS early in his career and his nephew Aaron Brookner now also a filmmaker"
"Uncle John","The first feature from Steven Piet unfolds with murkiness and ambiguity"
"Under African Skies","In Under African Skies the filmmaker Joe Berlinger recounts the controversy surrounding Paul Simons album Graceland"
"Unraveled","The documentary Unraveled follows Marc Dreier a lawyer convicted of defrauding investors through elaborate schemes in the days before his sentencing"
"Urban Hymn","A social worker tries to connect with a troubled 17yearold through music but the girls streettough best friend stands in the way"
"Vacation","This comedy about a family8217s theme park journey is a sequel to 8220National Lampoon8217s Vacation8221 the 1983 Chevy Chase film"
"Vacation!","Four college girlfriends hit a North Carolina beach in Vacation"
"Valentino's Ghost","Michael Singhs documentary Valentinos Ghost looks at the intersection of Western politics in the Middle East and Hollywoods depiction of Arabs"
"Valley of Saints","8220Valley of Saints8221 tells the story of two men whose plans are disrupted by a military curfew and whose friendship is threatened by a shared love interest"
"Veteran","The film follows an honest detective taking on the pampered sociopathic heir to a familyowned business conglomerate"
"Viva","A macho father released from prison decides to move in with the son he abandoned who is a sweetnatured gay hairdresser and an aspiring drag queen"
"Wagner's Dream","Wagners Dream directed by Susan Froemke is a documentary that gives a behindthescenes look at the making of Robert Lepages staging of the fourpart Ring cycle for the Metropolitan Opera"
"Waiting for 'Superman'","A powerful and alarming documentary about Americas failing public school system"
"War Dogs","Jonah Hill and Miles Teller play 20something entrepreneurs who plunge into the weaponry business and end up in over their heads"
"War for the Planet of the Apes","With Andy Serkis reprising his role as Caesar War for the Planet of the Apes is a humane western wrapped around a prison movie as primates battle for primacy"
"War Horse","War Horse set in World War I and directed by Steven Spielberg pays tribute to a tradition of honest emotionally direct storytelling"
"Warrior","Gavin OConnors Warrior follows two estranged brothers who are separately preparing for a mixed martial arts tournament"
"We Come as Friends","Hubert Sauper8217s documentary blends striking visuals with a pointed argument that outside investors seeking profits played a big role in the region8217s independence movement"
"We Were Here","We Were Here is an unblinking chronology of the AIDS epidemic recounted by five people who lived through it and watched countless friends and lovers die"
"Welcome to Me","Ms Wiig8217s character decides to spend a major financial windfall on buying her own talk show in this dark comedy directed by Shira Piven"
"What Maisie Knew","What Maisie Knew an adaptation of the Henry James short novel is about a young girl caught in a custody battle between her mother and father"
"What We Do in the Shadows","The film directed by Jemaine Clement and Taika Waititi is set in New Zealand and follows four ghouls who have problems adapting to the modern world"
"When I Walk","The director Jason DaSilva records his daily battle with a degenerative disease in When I Walk"
"While We're Young","In Noah Baumbach8217s film Ben Stiller and Naomi Watts play a couple in their 40s who become captivated by a younger pair who seem to freely embrace experience"
"White Girl","Elizabeth Woods film stars Morgan Saylor as a wild college ingenue who winds up struggling when her new drugdealing boyfriend is arrested"
"Wild","8220Wild8221 stars Reese Witherspoon as a woman who takes on an arduous solo trek along the Pacific Crest Trail"
"Wilde Salomé","A story of obsession plays out in Wilde Salom and Salom as Mr Pacino veers into Camp"
"Win Win","Paul Giamatti plays a struggling suburbanite facing the usual material and moral anxieties in Win Win Tom McCarthys funny and warmhearted new film"
"Wind River","A rookie investigator meets her match while investigating a murder on an Indian reservation"
"Window Horses: The Poetic Persian Epiphany of Rosie Ming","Ann Marie Flemings film explores the passions of a sheltered poet who travels to Shiraz Iran for a poetry festival"
"Winnie the Pooh","This Winnie the Pooh has no bells and whistles it is comfortable with itself and confident in its ability to amuse and beguile young viewers"
"Winter's Bone","Debra Graniks tender adaptation of a novel by Daniel Woodrell follows a young woman in the Missouri Ozarks as she sets out to find her father"
"Wonder","Auggie the little boy in this smart and warmhearted family film is inspirational in his differences"
"Wonder Woman","The movie directed by Patty Jenkins and starring Gal Gadot shakes off branding imperatives with touches of screwball comedy and romantic adventure"
"Wonderstruck","Mr Hayness lovely adaptation of Brian Selznicks book centers on a girl in the 1920s and a boy in the 70s whose lives are mysteriously connected"
"Wreck-It Ralph","Video games and cartoons meet in the new Disney feature WreckIt Ralph"
"Xingu","Xingu tells how three brothers hoping to protect indigenous people in the Amazon helped create a sprawling national park in Brazil"
"You Hurt My Feelings","You Hurt My Feelings is a fragile sophomore feature that reminds us that watching movies matters more than listening to them"
"You Will Be My Son","You Will Be My Son traces fractured fatherson relationships on a vineyard in France"
"You're Next","Youre Next by Adam Wingard has masked killers with crossbows and a plot full of surprises"
"Young Adult","In Young Adult Charlize Theron plays a pretty and poised but mean and selfpitying woman who tries to get out of a rut by returning home and reconnecting with her youth"
"Your Name","Manohla Dargis reviews Makoto Shinkais latest film a lovely and touching Japanese animation in which teenagers find themselves trading bodies and lives"
"Youth","Crude fantasy seems to merge with the daily reality of a militarized society as brothers try to save their family from financial ruin in this Tom Shoval film"
"Z for Zachariah","Margot Robbie stars in Craig Zobel8217s postapocalyptic film about three survivors of the nuclear holocaust caught in a triangle"
"Zero Dark Thirty","Zero Dark Thirty treads on unusual territory for moviegoers used to Hollywoods practice of simplifying morality"
"Zero Days","This Alex Gibney documentary describes the origin of Stuxnet malware devised by Israel and the United States with grave implications for the future"
"Zoom","Alison Pill Jason Priestley Gael Garca Bernal and Mariana Ximenes star in Pedro Morellis amusing mix of animation and live action"
"Zootopia","As the first rabbit police officer in Zootopia Judy Hopps is stuck writing parking tickets but the ambitious bunny pokes her nose into a missingmammal epidemic"
